Course,Term,Enroll #,Evals Made,Recommend Class,Recommend Instructor,Study Hours (hrs/wk),Avg Grade Expected/Received,Difficulty Score,Difficulty
DSC 190 - Topics in Data Science (C),WI22,19,16,87.5,93.8,3.25,B+ (3.67) / N/A,49.75,Moderate
DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI22,219,121,94.7,92.0,10.39,B+ (3.52) / B (3.19),37.77000000000001,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (B),WI22,77,25,47.8,34.8,11.63,B (3.14) / B (3.14),34.89,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),WI22,66,21,85.7,85.7,7.9,B (3.11) / B- (2.94),27.1,Easy
DSC 40A - Theor Fndtns of Data Sci I (B),WI22,65,20,73.7,78.9,9.34,B (3.06) / B- (2.73),34.62,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),WI22,122,82,97.5,100.0,5.66,B+ (3.61) / B+ (3.46),19.98,Very Easy
DSC 90 - Seminar in Data Science (A),WI22,25,14,100.0,100.0,2.93,A (4.00) / N/A,48.79,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI22,15,9,88.9,100.0,1.17,N/A / N/A,43.51,Moderate
DSC 96 - Workshop in Data Science (A),WI22,18,11,90.9,100.0,4.14,A (4.00) / N/A,52.42,Moderate
DSC 10 - Principles of Data Science (A),FA21,72,58,98.3,98.2,8.22,B+ (3.59) / B+ (3.33),29.86,Easy
DSC 10 - Principles of Data Science (B),FA21,71,59,100.0,100.0,6.71,B+ (3.48) / B (3.29),23.93,Easy
DSC 10 - Principles of Data Science (C),FA21,112,90,98.9,100.0,7.52,B+ (3.54) / B (3.27),27.96,Easy
DSC 100 - Intro to Data Management (A),FA21,161,42,87.5,65.0,7.25,A- (3.80) / A- (3.80),21.75,Easy
DSC 180A - Data Science Project I (A),FA21,83,13,76.9,100.0,6.81,A- (3.77) / A- (3.98),26.73,Easy
DSC 180A - Data Science Project I (B),FA21,73,20,94.4,100.0,7.61,A- (3.72) / A- (3.92),28.82999999999999,Easy
DSC 190 - Topics in Data Science (A),FA21,21,11,90.9,80.0,11.59,A- (3.82) / A (4.00),40.17000000000001,Moderate
DSC 190 - Topics in Data Science (B),FA21,9,5,100.0,100.0,8.9,A- (3.80) / N/A,66.7,Difficult
DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA21,102,39,83.3,86.1,10.99,B+ (3.42) / B (3.06),40.17,Moderate
